Order Date,Category,Product Name,City,Sales,Profit,Quantity,Discount
1/5/2024,Office Supplies,Paper,Mumbai,1200,200,2,0
1/12/2024,Technology,Laptop,Delhi,55000,8000,1,0.05
2/3/2024,Furniture,Chair,Lucknow,4500,700,3,0.1
2/15/2024,Office Supplies,Pen,Kanpur,600,120,10,0
3/8/2024,Technology,Mouse,Mumbai,900,180,5,0
3/19/2024,Furniture,Table,Delhi,8500,1500,2,0.08
4/2/2024,Office Supplies,Notebook,Lucknow,1500,300,6,0
4/21/2024,Technology,Keyboard,Pune,2200,400,4,0.03
5/10/2024,Furniture,Sofa,Mumbai,25000,5000,1,0.12
5/25/2024,Office Supplies,Marker,Delhi,800,160,8,0
6/4/2024,Technology,Monitor,Lucknow,12000,2200,2,0.06
6/17/2024,Furniture,Bookshelf,Kanpur,7000,1200,1,0.05
7/6/2024,Office Supplies,Stapler,Pune,950,180,4,0
7/22/2024,Technology,Headphones,Delhi,3500,600,3,0.02
8/11/2024,Furniture,Bed,Mumbai,30000,6500,1,0.1
8/28/2024,Office Supplies,File Folder,Lucknow,1100,220,7,0
9/9/2024,Technology,Printer,Kanpur,15000,2500,1,0.07
9/24/2024,Furniture,Cabinet,Pune,9500,1700,2,0.04
10/5/2024,Office Supplies,Calculator,Delhi,1800,350,2,0
10/19/2024,Technology,Tablet,Mumbai,28000,4200,1,0.05
11/7/2024,Furniture,Desk,Lucknow,6500,1100,2,0.06
11/23/2024,Office Supplies,Envelope,Kanpur,500,90,12,0
12/3/2024,Technology,Webcam,Pune,2600,450,3,0.01
12/18/2024,Furniture,Stool,Delhi,2200,350,5,0
